브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
삼성전자,삼성전자 노트북 15.6인치 FHD NT371B5L i5-6300HQ 16GB NVMe 256 윈10,,"269,000원",주식회사 두잇스마트,없음,"운영체제: WIN10, RAM용량 × 저장용량 × 색상: 16GB × 256GB × 블랙","SSD용량: 256GB, 메모리종류: DDR4, 색상계열: 블랙, 저장장치: SSD, 해상도 (해상도 등급): FHD, 쿠팡상품번호: 7923082632 - 21773502048",https://www.coupang.com/vp/products/7923082632?itemId=21773502048&vendorItemId=88822353709
레노버,"레노버 2023 아이디어패드 슬림 5 라이트 14ABR8 14 라이젠5 라이젠 7000 시리즈
            CLOUD GREY · 512GB · 16GB · Free DOS · 82XS001CKR",,"1,299,000원",라이브쇼핑커머스,2,,"CPU 모델명: 라이젠5, CPU 모델 번호: R5-7530U, 화면크기: 35.56cm, 중량: 1.17kg, 출시년월: 2023.02, 쿠팡상품번호: 7248164858 - 18431584059",https://www.coupang.com/vp/products/7248164858?itemId=18431584059&vendorItemId=89201851922
LG전자,LG 노트북 그램 14Z980 가벼운 그램노트북 i5 DDR4 초고속 M.2 SSD 장착 윈도우10 프로,,"598,000원",에스엔에스 시스템,2,"모델명/품번: 14Z980, 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 × 16GB × 512GB × 코어i5 × 화이트","가전 모델: LG 그램, 저장장치: SSD, 화면크기(인치): 14, 내장마이크 탑재여부: 내장마이크, 코어 종류: 쿼드코어, 쿠팡상품번호: 6458262639 - 20176278780",https://www.coupang.com/vp/products/6458262639?itemId=20176278780&vendorItemId=87268386158
HP,"HP 2023 노트북 15 코어i3 인텔 12세대
            Jet Black · 256GB · 8GB · Free DOS · 15-fd0102TU",,"444,500원",로켓배송,2,,"CPU 모델명: 코어i3, CPU 모델 번호: 코어i3-N305, 화면크기: 39.6cm, 중량: 1.6kg, 출시년월: 2023.05, 쿠팡상품번호: 7824092703 - 18807094470",https://www.coupang.com/vp/products/7824092703?itemId=18807094470&vendorItemId=85937717422
삼성전자,"삼성 노트북 15.6인치 NT371B5L 사무용 가정용 인강용 게이밍 롤 포토샵 i5 ssd탑재 윈10 pro
            단일색상 · NT371B5L · 코어i5 · 128GB · 8GB · WIN10 Pro",,"299,000원",아고라시스템즈,없음,,"저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6, 저장장치 인터페이스: M.2 NVMe, 색상계열: 블랙, 쿠팡상품번호: 7310558711 - 20425617081",https://www.coupang.com/vp/products/7310558711?itemId=20425617081&vendorItemId=85838715726
HP,HP 2024 노트북 15 코어i3 인텔 13세대,"698,940원","658,940원",로켓배송,2,"색상: 다이아몬드 화이트(커버) + 내추럴 실버(베이스), 저장용량 × RAM용량 × 운영체제: 512GB × 16GB × WIN11 Home","CPU 모델명: 코어i3, CPU 모델 번호: i3-1315U, 화면크기: 39.6cm, 중량: 1.59kg, 출시년월: 2024.01, 쿠팡상품번호: 7812122926 - 21714870701",https://www.coupang.com/vp/products/7812122926?itemId=21714870701&vendorItemId=88753629695
LG전자,"LG전자 2023 울트라PC 15 15U40R-GRTWK - WIN11 설치 모델로 출고됩니다.
            15U40R-GRTWK · WIN11 Home · 32GB · 2TB · 라이젠3 · 화이트",,"829,000원",주식회사 이든이엠에스,없음,,"코어 종류: 쿼드코어, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 가전 모델: LG 울트라PC, 쿠팡상품번호: 7742204752 - 20832770469",https://www.coupang.com/vp/products/7742204752?itemId=20832770469&vendorItemId=87900844253
삼성전자,"삼성전자 노트북 5 코어i5 8세대 SSD탑재 NT551EBE 그레이 코어i5-8265U 램8GB SSD256GB 윈10 Pro 탑재
            NT551EBE · WIN10 Pro · 16GB · 256GB · 그레이",,"439,000원",룰루메딕 주식회사,없음,,"RAM/메모리 최대 용량: 16GB, 전면 카메라 장착 여부: 장착, 운영체제 비트 종류: 64bit, SSD용량: 256GB, 메모리종류: DDR4, 쿠팡상품번호: 7858718354 - 21439584473",https://www.coupang.com/vp/products/7858718354?itemId=21439584473&vendorItemId=88494229480
에이수스,"에이수스 2023 젠북 15 OLED 라이젠7 라이젠 7000 시리즈
            폰더 블루 · 512GB · 16GB · WIN11 Home · UM3504DA-MA180W","1,093,860원","1,053,860원",로켓배송,4,,"CPU 모델명: 라이젠7, CPU 모델 번호: 라이젠7-7735U, 화면크기: 39.6cm, 중량: 1.4kg, 출시년월: 2023.05, 쿠팡상품번호: 7812355971 - 19083612870",https://www.coupang.com/vp/products/7812355971?itemId=19083612870&vendorItemId=86205882304
HP,"HP 2024 노트북 17s 코어i5 인텔 12세대
            네추럴 실버 · 512GB · 16GB · WIN11 Home · 17s-cu2023TU Super",,"889,000원",로켓배송,없음,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1235U, 화면크기: 43.9cm, 중량: 2.38kg, 출시년월: 2024.02, 쿠팡상품번호: 7926021665 - 21789429004",https://www.coupang.com/vp/products/7926021665?itemId=21789429004&vendorItemId=88838094078
삼성전자,삼성전자 NT371B5J i5 8G SSD256GB Win10,,"238,000원",주식회사세컨핸드,없음,"색상: 단일색상, 저장용량 × RAM용량 × 운영체제: 256GB × 8GB × WIN10 Home","CPU 모델명: 코어i5, 저장장치: SSD, 코어 종류: 듀얼코어, 내장마이크 탑재여부: 내장마이크, 쿠팡상품번호: 7331106764 - 15338290512",https://www.coupang.com/vp/products/7331106764?itemId=15338290512&vendorItemId=82559003468
레노버,"레노버 2023 V15 G4 코어i5 인텔 13세대
            Iron Gray · 256GB · 16GB · Free DOS · 83A10001KR","646,250원","516,250원",로켓배송,3,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-1335U, 중량: 1.67kg, 출시년월: 2023.06, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7598185753 - 20470030189",https://www.coupang.com/vp/products/7598185753?itemId=20470030189&vendorItemId=87537341268
HP,HP 2023 엘리트북 655 G10 15.6,"785,540원","685,540원",로켓배송,2,"색상: 실버, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 16GB × Win11 Home × G10-80R49PA","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7530U, GPU 모델명: 라데온 그래픽스, 화면크기: 39.6cm, 중량: 1.67kg, 쿠팡상품번호: 7813788607 - 21283237537",https://www.coupang.com/vp/products/7813788607?itemId=21283237537&vendorItemId=88331188293
,삼성전자 갤럭시북4 15.6 코어I5 13세대 한컴오피스팩 및 무선마우스 정품 윈도우11 패키지 동봉,"1,079,000원","1,049,000원",(주)한사랑씨앤씨,없음,"운영체제: WIN11 Home, RAM용량 × 저장용량 × 색상: 16GB × 512GB × 실버","저장장치: SSD, 색상계열: 실버, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6, 가전 모델: Galaxy Book, 쿠팡상품번호: 7991194687 - 22212816645",https://www.coupang.com/vp/products/7991194687?itemId=22212816645&vendorItemId=89258837469
,A급중고 LG 15N540 I5-4310M/16G/SSD256G/HD4600/15.6 HD/WIN10 게이밍북,,"279,000원",에스엔에스 시스템,없음,"운영체제: WIN10 Pro, RAM용량 × 저장용량 × CPU 모델명 × 색상: 16GB × 256GB × 코어i5 × 실버","해상도 (해상도 등급): FHD, 저장장치: SSD, 색상계열: 실버, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6인치, 쿠팡상품번호: 6838627007 - 16255031935",https://www.coupang.com/vp/products/6838627007?itemId=16255031935&vendorItemId=83448145690
Apple,"Apple 2020 맥북 에어 13
            스페이스 그레이 · M1 · 256GB · 8GB · A2337","1,064,520원","1,021,930원",로켓배송,없음,,"운영체제: MAC OS, CPU 모델 번호: APL1102, GPU 모델명: M1 7 core, 화면크기: 33.74cm, CPU 기본속도: 0.6GHz, 쿠팡상품번호: 4322481134 - 5033261049",https://www.coupang.com/vp/products/4322481134?itemId=5033261049&vendorItemId=72343055641
에이수스,"에이수스 2024 ROG 스트릭스 G16 코어i9 인텔 13세대 지포스 RTX 4060
            Eclipse Gray · 1TB · 16GB · Free DOS · G614JV-N4117","1,999,000원","1,799,000원",로켓배송,2,,"CPU 모델명: 코어i9, CPU 모델 번호: 코어i9-13980HX, GPU 모델명: 지포스 RTX 4060, 중량: 2.5kg, 출시년월: 2024.03, 쿠팡상품번호: 7961471716 - 22012062077",https://www.coupang.com/vp/products/7961471716?itemId=22012062077&vendorItemId=89059477637
레노버,"레노버 2024 요가 슬림 7 14IMH9 코어Ultra7 인텔 14세대
            Luna Grey · 1TB · 32GB · Free DOS · 83CV0025KR","1,449,000원","1,279,000원",로켓배송,없음,,"CPU 모델명: 코어Ultra7, CPU 모델 번호: 코어Ultra7-155H, 중량: 1.39kg, 출시년월: 2024.01, 패널: OLED, 쿠팡상품번호: 7903115265 - 21665266327",https://www.coupang.com/vp/products/7903115265?itemId=21665266327&vendorItemId=88715870030
LG전자,LG 8세대 GRAM 14Z980 코어i5 16GB SSD256GB Win10,,"529,000원",에스엔에스 시스템,없음,"모델명/품번: 4. 14Z980, 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 Home × 8GB × 256GB × 코어i5","저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 코어 종류: 쿼드코어, 색상계열: 화이트, 그래픽카드 형태: 미장착, 쿠팡상품번호: 6458262639 - 19245692570",https://www.coupang.com/vp/products/6458262639?itemId=19245692570&vendorItemId=87748226535
에이수스,"에이수스 2023 젠북 15 라이젠5 라이젠 7000 시리즈
            폰더 블루 · 512GB · 16GB · WIN11 Home · UM3504DA-BN144",,"949,000원",로켓배송,4,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7535U, 화면크기: 39.6cm, 중량: 1.5kg, 출시년월: 2023.05, 쿠팡상품번호: 7387505030 - 19209841671",https://www.coupang.com/vp/products/7387505030?itemId=19209841671&vendorItemId=86318458019
삼성전자,"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정
            실버 · NT550XED-K24A · 펜티엄 · 1128GB · 16GB · Windows11Pro",,"739,000원",주식회사 브랜드텍,없음,,"해상도 (해상도 등급): FHD, 패널: PLS, 저장장치: HDD+SSD, 코어 종류: 펜타코어, 색상계열: 실버, 쿠팡상품번호: 7761832619 - 20932936473",https://www.coupang.com/vp/products/7761832619?itemId=20932936473&vendorItemId=87802699182
LG전자,LG전자 그램14 14Z980 8세대i5 램16G SSD512G 윈도우10 (50대 한정 nvme1TB 무료 업그레이드),,"649,000원",주식회사 케이닷컴,없음,"색상: 화이트, CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 코어i5 × 1TB × 16GB × WIN10 Home","해상도 (해상도 등급): FHD, 저장장치: SSD, 색상계열: 화이트, 화면크기(인치): 14, SSD용량: 512, 쿠팡상품번호: 7672138851 - 20469536886",https://www.coupang.com/vp/products/7672138851?itemId=20469536886&vendorItemId=87370495163
삼성전자,"삼성 15.6인치 12세대 갤럭시북2 윈도우11 프로
            NT550XEZ · WIN11 Pro · 8GB · 256GB · 단일색상",,"669,000원",로켓배송,2,,"CPU 세대: 인텔 12세대, CPU브랜드: 인텔, 저장장치: SSD, 해상도 (해상도 등급): FHD, CPU 모델 번호: i5-1235U, 쿠팡상품번호: 7789815300 - 21072701436",https://www.coupang.com/vp/products/7789815300?itemId=21072701436&vendorItemId=89011219536
삼성전자,"삼성 15.6인치 사무용 노트북 i5 6세대 SSD장착 윈10프로 무선마우스
            NT501R5A · WIN10 Pro · 16GB · 256GB · 코어i5 · 블랙",,"339,000원",신화시스템,없음,,"저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6인치, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 6429531818 - 20259578104",https://www.coupang.com/vp/products/6429531818?itemId=20259578104&vendorItemId=86939243780
,점퍼 노트북 12G/SSD 256G/14/DDR4/가성비/슬림/초경량/업무용/그레이,,"275,000원","Shenzhen yioyi technology Co., LTD",없음,"운영체제: WIN11 Home, 색상 × RAM용량: grey × 12GB","내장마이크 탑재여부: 내장마이크, SSD용량: 256GB, CPU 모델 번호: 셀러론, 코어 종류: 쿼드코어, 화면크기(인치): 14, 쿠팡상품번호: 7927785930 - 21798363657",https://www.coupang.com/vp/products/7927785930?itemId=21798363657&vendorItemId=88279109923
LG전자,"LG전자 울트라PC 15인치 2023 최신 RAM 8GB SSD 256GB 윈도우11
            15UD40R-GX56K · WIN11 Home · 8GB · 256GB · 라이젠5 · 화이트",,"699,000원",두손밸리(주),없음,,"저장장치: SSD, 코어 종류: 헥사코어, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7704672281 - 20637506675",https://www.coupang.com/vp/products/7704672281?itemId=20637506675&vendorItemId=87711133097
MSI,"MSI Sword GF76 17.3 코어i7 인텔 13세대 지포스 RTX 4060
            블랙 · 1TB · 32GB · WIN11 Pro · GF76 B13VFK",,"1,699,000원",(주)클로버웍스,없음,,"CPU 모델명: 코어i7, CPU 모델 번호: i7-13620H, GPU 모델명: 지포스 RTX 4060, 화면크기: 43.9cm, 중량: 2.6kg, 쿠팡상품번호: 7813920189 - 18096555281",https://www.coupang.com/vp/products/7813920189?itemId=18096555281&vendorItemId=87686291075
HP,"HP 2024 노트북 15 코어i5 인텔 14세대
            Ceramic White · 512GB · 16GB · Free DOS · 15-fd1026TU",,"799,000원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-120U, 중량: 1.6kg, 출시년월: 2024.02, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7883496994 - 21565572672",https://www.coupang.com/vp/products/7883496994?itemId=21565572672&vendorItemId=88617565595
